split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,281474976887086_f1867_chunk_6.wav,,14.36525,Female,30-45,Gujarati,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",,"the radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states."
test,281474976888952_f3218_chunk_3.wav,,5.04,Female,18-30,Konkani,"how difficult their lives are, what all circumstances they go through,",,"how difficult their lives are, what all circumstances they go through."
test,281474976896655_f2403_chunk_0.wav,,9.2244375,Female,45-60,Telugu,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal,,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal.
test,281474976900629_f577_chunk_0.wav,,2.938875,Male,30-45,Urdu,List all items from Pet food items.,,List all items from pet food items.
test,281474976896697_f3121_chunk_0.wav,,4.2363125,Female,45-60,Telugu,What is your favorite painting style or technique and why?,,what is your favorite painting style or technique and why
test,281474976900290_f379_chunk_0.wav,,2.589375,Male,45-60,Kashmiri,show me what day the thirty first is on,,Show me what day the 31st is on.
test,281474976898094_f2705_chunk_0.wav,,7.303625,Female,18-30,Odia,Are there any vaccination centres available in Bhandara district for age group 15-17 years,,Are there any vaccination centers available in Bhandara district for age group 15 to 17 years?
test,281474976900596_f3268_chunk_6.wav,,6.486625,Male,30-45,Urdu,whereby humans are entrusted with the safe keeping of earth and its variety of life.,,whereby humans are entrusted with the safe keeping of earth and its variety of life.
test,281474976894937_f1920_chunk_2.wav,,8.9308125,Female,30-45,Malayalam,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,,It's about an abused Malayali migrant worker employed in Saudi Arabia as a goatherd against his will.
test,281474976894270_f2003_chunk_6.wav,,6.7960625,Female,30-45,Kashmiri,The intricate yet beautiful floral motifs on paper mashi products are in,,The intricate yet beautiful floral motifs on papermashy products are in
test,281474976897395_f3303_chunk_3.wav,,6.56,Male,18-30,Odia,So there are a lot of beaches throughout the eastern coastline of Odisha.,,So there are a lot of beaches throughout the eastern coastline of Odessa.
test,281474976888873_f2272_chunk_2.wav,,8.42525,Female,18-30,Nepali,and after that we celebrate Chaitra Dasai and after that we celebrate Dasai,,And after that we celebrate Chaiti Dasai. And after that we celebrate Dasai.
test,281474976901155_f2246_chunk_4.wav,,1.427,Female,45-60,Maithili,I use some words,,I use some words
test,281474976889220_f3112_chunk_13.wav,,6.12,Female,30-45,Urdu,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu.",,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu."
test,281474976901603_f2233_chunk_0.wav,,4.933625,Female,30-45,Maithili,Biodiversity actually plays a very important role in my garden,,Biodiversity actually plays a very important role in my garden.
test,281474976885804_f1685_chunk_1.wav,,4.14975,Female,30-45,Kannada,with the leading newspapers such as Bangalore Mirror,,"with the leading newspapers such as Bangalore Mirror,"
test,281474976888129_f2720_chunk_0.wav,,1.99025,Male,30-45,Maithili,when was dev anand born,,When was Devanand born?
test,281474976888157_f3255_chunk_3.wav,,17.75,Male,30-45,Maithili,And Taruah is something in which any vegetable is fried or some of the leaves like there is one leaf called known as Tilkor.,,And tarua is something in which any vegetable is fried or some of the leaves like there is one leaf known as tilkur.
test,281474976888201_f1854_chunk_3.wav,,4.8235,Female,18-30,Punjabi,"end of the year which are a source of great joy and fun, especially for the kids.",,end of the year which are a source of great joy and fun especially for the kids
test,281474976895431_f3247_chunk_9.wav,,5.0270625,Male,18-30,Konkani,The government of Goa and the tourism department must promote these places,,The government of Goa and the tourism department must promote these places.
test,281474976902167_f389_chunk_0.wav,,0.2343125,Female,45-60,Urdu,Up,,Up.
test,281474976897535_f2230_chunk_6.wav,,2.901125,Male,30-45,Sindhi,like the physical practice of yoga,,like the physical practice of yoga.
test,281474976903206_f1342_chunk_0.wav,,0.402625,Female,45-60,Tamil,Three,,3.
test,281474976897706_f2738_chunk_0.wav,,0.3774375,Male,60+,Odia,Stop,,stop
test,281474976893138_f110_chunk_0.wav,,3.779125,Female,60+,Odia,"Further, undue influence rarely occurs on its own.",,"Further, undue influence rarely occurs on its own."
test,281474976897399_f2215_chunk_10.wav,,1.324625,Male,18-30,Odia,and,,and uh...
test,281474976884628_f2121_chunk_4.wav,,13.8574375,Female,18-30,Kannada,mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli,,Mint tea is a very great refreshing drink and this Vandalaga and Doddapatre can be used in preparation of a regional delicacy called Thambuli.
test,281474976891552_f1370_chunk_0.wav,,5.593125,Male,30-45,Konkani,"Again, Dayanand was well received and the Rajkot group elected to join his cause.",,Again Dayanand was well received and the Rajkot group elected to join his cause.
test,281474976893068_f2055_chunk_2.wav,,3.2245,Male,60+,Marathi,The major challenge faced by students in Maharashtra,,The major challenge faced by students in Maharashtra
test,281474976887077_f3162_chunk_0.wav,,3.647,Female,30-45,Gujarati,Can you speak the five dates that you remember?,,Can you speak the five dates that you remember?
test,281474976884359_f2087_chunk_4.wav,,9.6023125,Female,18-30,Tamil,Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions,,Mysore has propagated the art of sandalwood carving and chennapatna toys are very famous and are often gifted as presents for special occasions.
test,281474976894267_f3266_chunk_3.wav,,5.72,Female,30-45,Kashmiri,and mostly those who are not able to find government jobs in both teaching and non-teaching sectors,,and mostly those who are not able to find government jobs in both teaching and non-teaching sectors.
test,281474976897117_f2288_chunk_1.wav,,3.9696875,Male,18-30,Hindi,invest in mutual funds where risk is low.,,invest in mutual funds where risk is low
test,281474976888160_f3202_chunk_3.wav,,6.703,Male,30-45,Maithili,The city was mostly developed by the Maharajas of Dharbhanga like Lakshmishwar Singh and Kameshwar Singh.,,The city was mostly developed by the Maharajas of Drabang like Lakshmi Swar Singh and Kameshwar Singh.
test,281474976900603_f2255_chunk_27.wav,,1.9818125,Male,30-45,Urdu,on both the sides of river,,on both the sides of the river.
test,281474976897070_f2946_chunk_0.wav,,3.91025,Male,18-30,Hindi,Can I avail any extra discount offers on Cereals this year?,,Can I avail any extra discount offers on serials this year?
test,281474976887089_f1758_chunk_1.wav,,4.067625,Female,30-45,Gujarati,main medium of communication has been Gujarati,,Main medium of communication has been Gujarati.
test,281474976894267_f3266_chunk_8.wav,,14.17025,Female,30-45,Kashmiri,Stone-penetrating which is a reaction to the Indian rule in Kashmir again poses a threat to education since  youth the youth of Kashmir is involved in these activities rather than going to school.,,"Stone-pelting, which is a reaction to the Indian rule in Kashmir, again poses a threat to education since the youth of Kashmir is involved in these activities rather than going to school."
test,281474976883831_f1642_chunk_0.wav,,3.24325,Male,45-60,Nepali,What's my Fin care is Small Finance Bank account balance?,,What's my Fincare small finance bank account balance?
test,281474976888160_f3202_chunk_1.wav,,6.4229375,Male,30-45,Maithili,"It was a capital of Raj, Dharbhanga, an estate established in the 16th century.",,"It was a capital of Rajdarbhanga, an estate established in the 16th century."
test,281474976887784_f298_chunk_0.wav,,1.666125,Female,45-60,Telugu,define the word novel,,Define the word novel.
test,281474976884267_f1694_chunk_0.wav,,4.778375,Male,45-60,Tamil,"We differ from other countries in terms of food, in terms of dress",,"will differ from other countries in terms of food, in terms of dress."
test,281474976897288_f1126_chunk_0.wav,,0.7803125,Female,30-45,Bengali,Forward,,forward
test,281474976885801_f2235_chunk_16.wav,,4.6668125,Female,30-45,Kannada,for higher education they have to travel or shift to a,,"For higher education, they have to travel or shift to a"
test,281474976896056_f280_chunk_0.wav,,0.3625625,Male,30-45,Kannada,Agree,,I agree.
test,281474976894213_f155_chunk_0.wav,,5.21525,Female,30-45,Kashmiri,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.
test,281474976894892_f328_chunk_0.wav,,2.433125,Female,30-45,Malayalam,what type of learning system do you use,,What type of learning system do you use?
test,281474976887814_f3207_chunk_0.wav,,4.56,Female,45-60,Telugu,Different nations face different complex problems in various domains.,,Different nations face different complex problems in various domains.
test,281474976915906_f3221_chunk_1.wav,,11.0,Female,30-45,Nepali,"Commonly here, the culture is followed according to the norms of Nepali people.",,Commonly here the culture is followed according to the norms of Nepali people.
test,281474976906740_f2821_chunk_0.wav,,0.9239375,Male,18-30,Assamese,new list,,new list
test,281474976894775_f2871_chunk_0.wav,,0.7199375,Female,30-45,Nepali,Skip,,Skip
test,281474976890909_f2938_chunk_0.wav,,8.5980625,Female,45-60,Konkani,Dostana was a commercial success and grossed 871 million Indian Rupees Worldwide.,,Dostana was a commercial success and grossed INR 871 million worldwide.
test,281474976915904_f3186_chunk_1.wav,,9.9,Female,30-45,Nepali,by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.,,by Badrinaren Pradhan from its original work written by Max Kim Gorky in his Noble Mother.
test,281474976883957_f1030_chunk_1.wav,,2.371,Male,18-30,Gujarati,this incident was the third major attack this week.,,This incident was the third major attack this week.
test,281474976891520_f1080_chunk_0.wav,,5.25525,Female,45-60,Telugu,Do I have enough money in my SBI account to make a transaction of 400 Rs ?,,Do I have enough money in my SBI account to make a transaction of Rs. 400?
test,281474976901789_f1955_chunk_0.wav,,2.2385625,Female,30-45,Assamese,Can you speak five district names?,,Can you speak five district names?
test,281474976901793_f1768_chunk_0.wav,,4.24875,Female,30-45,Assamese,What is your favorite painting style or technique and why?,,What is your favorite painting style or technique and why?
test,281474976887704_f3204_chunk_6.wav,,6.575,Male,30-45,Gujarati,"And I think in all the major cities of Gujarat,",,"And I think in all the major cities of Gujarat,"
test,281474976891408_f1727_chunk_1.wav,,1.1205,Male,30-45,Malayalam,your singing technique,,your singing technique.
test,281474976901602_f2119_chunk_10.wav,,4.7203125,Female,30-45,Maithili,"So, providing a sense of depth when they coverage or cross over other lines",,So providing a sense of depth when they coverage or cross over other lines.
test,281474976884190_f689_chunk_0.wav,,1.2201875,Male,18-30,Telugu,what is the weather like,,What is the weather like?
test,281474976897475_f711_chunk_0.wav,,3.104625,Male,30-45,Sindhi,what's the recipe for pasta sauce,,What's the recipe for pasta sauce?
test,281474976900602_f2216_chunk_12.wav,,1.050125,Male,30-45,Urdu,etc,,etc
test,281474976899796_f2149_chunk_3.wav,,8.5755625,Female,30-45,Odia,"and also to school, providing computers and books to the school students",,and also to school providing computer and books to the school students
test,281474976901155_f2246_chunk_5.wav,,5.5085625,Female,45-60,Maithili,and I try to make songs of my own style and own rhythms.,,and I try to make songs of my own style and own rhythms.
test,281474976886876_f2174_chunk_0.wav,,9.166,Female,18-30,Tamil,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.,,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.
test,281474976894337_f2017_chunk_0.wav,,22.449875,Male,18-30,Bengali,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting, but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise.",,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise."
test,281474976884470_f3243_chunk_0.wav,,7.68,Male,45-60,Malayalam,"Of course, there was and is a book which I couldn't ever plunge into, that is sense-wise,",,"Of course, there was and is a book which I couldn't ever plunge into. That is, sense-wise."
test,281474976888919_f3231_chunk_7.wav,,6.22,Male,18-30,Nepali,"Whatever I learn today or whatever I know about the English today, it's all because",,I learned today or whatever I know about the English today it's all because
test,281474976891571_f2356_chunk_2.wav,,3.7075625,Male,30-45,Konkani,with pincode 169804,,with pin code 169804.
test,281474976906758_f2825_chunk_0.wav,,0.4956875,Male,18-30,Assamese,Stop,,Stop.
test,281474976887706_f2223_chunk_0.wav,,8.4653125,Male,30-45,Gujarati,In my district there are significant amount of English medium and Gujarati medium schools,,"In my district, there are significant amount of English medium and Gujarati medium schools."
test,281474976887777_f3060_chunk_0.wav,,4.7889375,Female,45-60,Telugu,A substitution of an entire unit at once is called a line change.,,A substitution of an entire unit at once is called a line change.
test,281474976896992_f1780_chunk_0.wav,,3.0620625,Male,30-45,Bengali,Technology has severely impacted the field of photography,,Technology has severely impacted the field of photography.
test,281474976884151_f612_chunk_0.wav,,3.647875,Male,60+,Punjabi,Can you delete Paper Boat Aam Panna from my shopping cart,,Can you delete paper boat Aam Panna from my shopping cart?
test,281474976897085_f725_chunk_0.wav,,0.390875,Male,18-30,Hindi,Cat,,Good.
test,281474976894265_f3140_chunk_0.wav,,3.6,Female,30-45,Kashmiri,My favorite genre to write in is poetry or verse.,,My favorite journal to write in is poetry or verse.
test,281474976900596_f3268_chunk_18.wav,,6.2666875,Male,30-45,Urdu,The promotion of consumption patterns characterized by over-exploitation,,The promotion of consumption patterns characterized by overexploitation
test,281474976894151_f1502_chunk_0.wav,,8.537375,Male,45-60,Odia,"Both Al-Jazeera and the editors of the Boston, Massachusetts-based paper have also called for her safe release.",,"Both Al Jazeera and the editors of the Boston, Massachusetts-based paper have also called for her safe release."
test,281474976888873_f2272_chunk_36.wav,,0.8499375,Female,18-30,Nepali,in,,in
test,281474976909238_f2866_chunk_0.wav,,5.3853125,Female,45-60,Punjabi,Can I check my pension amount with my PRAN number,,can i can i check my pension amount with my pran number
test,281474976890950_f1901_chunk_0.wav,,4.1809375,Female,45-60,Konkani,India has numerous spoken languages in every state,,India has numerous spoken languages in every state.
test,281474976890739_f2251_chunk_2.wav,,1.11025,Male,18-30,Dogri,4 October,,4 October.
test,281474976892261_f1007_chunk_0.wav,,1.9326875,Female,18-30,Maithili,what alarms have been set for me,,What alarms have been set for me?
test,281474976887078_f1937_chunk_0.wav,,4.1276875,Female,30-45,Gujarati,"Yes, I have read a book other than my native language",,"Yes, I have read a book other than my native language."
test,281474976887819_f3180_chunk_1.wav,,5.987875,Female,45-60,Telugu,and I encountered a few difficulties in speaking English but not in writing in English.,,and I encountered a few difficulties in speaking English but not in writing in English.
test,281474976899793_f1792_chunk_3.wav,,10.691375,Female,30-45,Odia,It makes our life so easy and I don't need to make a note on paper and pen so I can make the presentations. It makes it more easy.,,It makes our life so easy and I don't need to make a note on paper and pen. So I can make the presentations. It makes more easy.
test,281474976888161_f1851_chunk_16.wav,,0.4999375,Male,30-45,Maithili,Tikri,,Pickity
test,281474976893669_f356_chunk_0.wav,,4.380625,Male,18-30,Bodo,please remove the alarm that is set for weekdays at nine,,please remove the alarm that is set for weekdays at 9.
test,281474976902186_f1899_chunk_0.wav,,3.1713125,Female,45-60,Urdu,"Yes, when I had visited Taj Mahal",,"Yes, when I had visited Taj Mahal,"
test,281474976900603_f2255_chunk_56.wav,,3.8600625,Male,30-45,Urdu,that would become centres of intense nationalist activities,,that would become centers of intense nationalist activities.
test,281474976895431_f3247_chunk_3.wav,,2.0,Male,18-30,Konkani,churches across the state,,churches across the state.
test,281474976887780_f2878_chunk_0.wav,,10.454875,Female,45-60,Telugu,"Goan food may be divided into Goan Catholic and Goan Hindu cuisine with each showing very distinct tastes, characteristics, and cooking styles.",,"Govan food may be divided into Govan Catholic and Govan Hindu cuisine with each showing very distinct tastes, characteristics and cooking styles."
test,281474976890748_f2054_chunk_7.wav,,3.8480625,Male,18-30,Dogri,"which are especially celebrated with full swings in our state, Jammu and Kashmir are",,which are specially celebrated with full swings in our state Jammu and Kashmir are
test,281474976900633_f9_chunk_0.wav,,0.6226875,Male,30-45,Urdu,Wow,,Wow!
test,281474976897259_f1109_chunk_0.wav,,3.1696875,Female,30-45,Bengali,give me the local time of darjeeling,,Give me the local time of Darjeeling.
test,281474976895324_f1896_chunk_0.wav,,4.120375,Male,30-45,Kashmiri,Do you have a favorite book that you have read multiple times?,,Do you have a favorite book that you have read multiple times?
test,281474976888909_f3258_chunk_7.wav,,7.4143125,Male,18-30,Nepali,"of her life, how she became a writer from a poor dump.",,her life how she became a writer from a poor dump
test,281474976901485_f1730_chunk_0.wav,,6.8690625,Male,45-60,Urdu,What are some local cuisines or dishes that tourists should try while visiting your state?,,What are some local cuisines or dishes that tourists should try while visiting your state?
test,281474976895171_f2985_chunk_0.wav,,0.4050625,Male,18-30,Malayalam,Happy,,Happy.
test,281474976909275_f3320_chunk_0.wav,,8.68,Female,45-60,Punjabi,"In Punjab, so many hockey stadium and cycling velodrome with the capacity of 5000 to 10000.",,"In Punjab so many hockey stadium and cycling velodrome with the capacity of the 5000 to 10,000."
test,281474976894268_f1720_chunk_24.wav,,2.0714375,Female,30-45,Kashmiri,The basic need of a student is to learn,,The basic need of a student is to learn.
test,281474976885311_f1175_chunk_0.wav,,9.6365,Male,30-45,Kannada,Don The Chase Begins Again starred Shah Rukh Khan and Priyanka Chopra and the movie became Rampal's first hit.,,Dawn The Chase Begins Again starred Shahrukh Khan and Priyanka Chopra and the movie became Rampal's first hit.
test,281474976901761_f992_chunk_0.wav,,8.4931875,Female,30-45,Assamese,i am trying to find a Paid Second Dose of COVAXIN can you list all such centres in state Mizoram,,I am trying to find a paid second dose of Covaxin. Can you list all such centers in state Mizoram?
test,281474976897075_f2542_chunk_1.wav,,1.598,Male,18-30,Hindi,to pay my FASTag bill?,,to pay my first tank bill.
test,281474976883993_f2221_chunk_3.wav,,8.6088125,Male,18-30,Gujarati,or any new such belief or encounter if they encounter any new tradition about religion then they discuss that.,,or any new such belief or encounter if they encounter any new tradition about religion then they discuss that
test,281474976893790_f3293_chunk_0.wav,,2.9,Male,30-45,Punjabi,Do you have any favorite English writers and poets?,,Do you have any favorite English writers and poets?
test,281474976894939_f2193_chunk_6.wav,,4.3849375,Female,30-45,Malayalam,all originally written in Greek and together known as the New Testament,,all originally written in Greek and together known as the New Testament.
test,281474976893913_f2002_chunk_0.wav,,4.6255,Male,30-45,Bodo,"Assam, situated at the foothills of the eastern Himalayas",,"Assam, situated at the foothills of the eastern Himalayas."
test,281474976898621_f2032_chunk_2.wav,,0.65325,Male,60+,Bengali,newspaper,,Newspaper
test,281474976893975_f272_chunk_0.wav,,0.56525,Female,45-60,Telugu,Skip,,Skip.
test,281474976897688_f402_chunk_0.wav,,15.870625,Male,60+,Odia,Can you check if the OTP 647399 is still valid for vaccine registration for user with phone number 71615084958,,Can you check if the OTP 647-399 is still valid for vaccine registration for user with the phone number 7161-5084-958?
test,281474976906733_f2443_chunk_1.wav,,4.3510625,Male,18-30,Assamese,and ask deeply personal questions or anything relating to finance.,,and ask deeply personal questions or anything relating to finance
