dataset,model,model_display,batch_size,status,rtfx_audio_s_per_s,utterances_per_s,completion_latency_p95_s,gpu_util_mean_pct,device_memory_peak_mib,corpus_wer_pct,wer_delta_pp_vs_batch1,empty_hypotheses,quality_valid,gate_reject_reason,sensitivity_valid,is_selected
aesrc,small,Whisper Small,8,ok,51.037,11.259,0.7452,12.54,1555.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,16,ok,56.886,12.549,1.3218,9.13,2251.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,32,ok,59.509,13.128,2.4892,8.42,3625.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,64,ok,61.092,13.477,4.8157,7.87,6345.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,128,ok,62.309,13.745,9.3995,6.78,11763.0,6.5807,-0.019,0,True,,True,True
aesrc,medium,Whisper Medium,1,ok,16.427,3.624,0.3494,28.73,2167.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,2,ok,24.402,5.383,0.4368,28.27,2351.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,4,ok,33.971,7.494,0.5961,22.99,2757.0,4.9118,0.0379,0,True,,True,False
aesrc,medium,Whisper Medium,8,ok,42.952,9.475,0.903,20.57,3871.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,16,ok,49.412,10.9,1.514,18.33,6013.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,32,ok,52.616,11.607,2.8111,18.31,10079.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,64,ok,55.497,12.243,5.3047,17.74,18195.0,4.8739,0.0,0,True,,True,False
aesrc,medium,Whisper Medium,128,ok,56.24,12.407,10.4151,16.75,34419.0,4.8739,0.0,0,True,,True,True
aesrc,large,Whisper Large-v3,1,ok,13.038,2.876,0.4389,33.41,4029.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,2,ok,20.139,4.443,0.5316,30.78,4375.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,4,ok,28.241,6.23,0.7227,28.71,4943.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,8,ok,34.65,7.644,1.1172,27.32,6739.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,16,ok,41.779,9.217,1.8045,27.72,10317.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,32,ok,45.6,10.059,3.2553,28.82,17309.0,4.8739,0.0,0,True,,True,False
aesrc,large,Whisper Large-v3,64,ok,48.287,10.652,6.0946,27.75,31273.0,4.8739,0.0,0,True,,True,True
aesrc,large,Whisper Large-v3,128,ok,48.735,10.751,12.0147,27.65,35825.0,4.8739,0.0,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,1,ok,69.703,15.377,0.0673,35.24,3077.0,5.5376,0.0,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,2,ok,133.342,29.415,0.0707,36.2,3141.0,5.4997,-0.0379,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,4,ok,257.402,56.783,0.0738,36.23,3209.0,5.5187,-0.0189,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,8,ok,480.062,105.903,0.0792,36.1,3361.0,5.4618,-0.0758,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,16,ok,843.061,185.981,0.0925,37.92,3603.0,5.5756,0.038,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,32,ok,1330.711,293.557,0.1349,39.86,4059.0,5.4049,-0.1327,0,False,wer -0.1327 pp,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,64,ok,1817.319,400.904,0.22,47.8,4957.0,5.4808,-0.0568,0,True,,True,False
aesrc,parakeet,Parakeet-TDT-0.6B-v2,128,ok,1957.696,431.871,0.4063,51.6,6789.0,5.4618,-0.0758,0,True,,True,True
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,1,ok,44.701,9.861,0.1056,33.9,4677.0,6.6186,0.0,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,2,ok,87.767,19.362,0.1043,35.49,4685.0,6.6566,0.038,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,4,ok,167.832,37.024,0.1156,34.74,4739.0,6.6566,0.038,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,8,ok,325.95,71.905,0.1125,34.41,4845.0,6.6755,0.0569,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,16,ok,617.566,136.236,0.1241,38.18,5049.0,6.6376,0.019,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,32,ok,1076.844,237.554,0.1703,46.44,5459.0,6.6566,0.038,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,64,ok,1430.385,315.546,0.2916,53.33,6283.0,6.6566,0.038,0,True,,True,False
aesrc,parakeet_ctc,Parakeet-CTC-1.1B,128,ok,1492.29,329.202,0.5538,61.29,7951.0,6.6566,0.038,0,True,,True,True
