dataset,model,mode,reference_source,normalizer,corpus_wer_pct,corpus_cer_pct,mean_wer_pct,median_wer_pct,std_wer_pct,p90_wer_pct,p95_wer_pct,insertion_rate_pct,num_samples,total_ref_words,total_errors
aesrc,medium_hf,transcript_clean,gold,custom,5.63,2.17,6.39,0.0,11.86,21.43,30.0,0.7,1731,17447,982
aesrc,medium_hf,whisper_norm,gold,whisper,5.26,2.09,6.1,0.0,12.09,20.0,30.0,0.62,1731,17551,923
aesrc,tiny_hf,transcript_raw,gold,minimal,17.64,9.23,18.84,9.09,103.7,42.86,54.55,5.7,1731,17562,3098
aesrc,tiny_hf,transcript_clean,gold,custom,17.45,9.44,18.53,9.09,103.45,41.67,54.55,5.81,1731,17447,3044
aesrc,tiny_hf,whisper_norm,gold,whisper,16.97,9.4,18.72,8.33,107.1,41.67,53.85,5.77,1731,17551,2978
aesrc,small_hf,transcript_raw,gold,minimal,7.49,3.12,8.56,0.0,14.29,27.27,37.5,0.89,1731,17562,1315
aesrc,small_hf,transcript_clean,gold,custom,7.22,2.82,8.21,0.0,13.76,25.0,37.5,0.95,1731,17447,1260
aesrc,small_hf,whisper_norm,gold,whisper,6.91,2.8,8.42,0.0,27.41,25.0,37.5,0.96,1731,17551,1212
aesrc,tiny_aesrc_ft,transcript_raw,gold,minimal,12.49,8.42,13.83,7.14,118.79,30.0,42.86,3.89,1731,17562,2193
aesrc,tiny_aesrc_ft,transcript_clean,gold,custom,12.64,8.45,13.93,7.14,118.79,30.0,42.86,3.94,1731,17447,2205
aesrc,tiny_aesrc_ft,whisper_norm,gold,whisper,9.83,4.5,10.85,6.67,15.43,30.0,42.86,1.42,1731,17551,1726
aesrc,small_aesrc_ft,transcript_raw,gold,minimal,5.55,2.1,6.12,0.0,11.87,20.0,28.57,0.76,1731,17562,974
aesrc,small_aesrc_ft,transcript_clean,gold,custom,5.64,2.12,6.19,0.0,11.98,20.0,28.57,0.79,1731,17447,984
aesrc,small_aesrc_ft,whisper_norm,gold,whisper,5.36,2.12,5.92,0.0,11.35,20.0,28.57,0.77,1731,17551,940
aesrc,medium_aesrc_ft,transcript_raw,gold,minimal,4.37,1.62,4.86,0.0,10.84,16.67,25.0,0.46,1731,17562,768
aesrc,medium_aesrc_ft,transcript_clean,gold,custom,4.48,1.64,4.94,0.0,10.9,16.67,25.0,0.5,1731,17447,781
aesrc,medium_aesrc_ft,whisper_norm,gold,whisper,4.18,1.63,4.69,0.0,10.76,16.67,25.0,0.45,1731,17551,734
