split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser are looser,i better rock now fits like such a looser are looser,0.5385,0.2407,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mayafati shri ram chandra,play songs by mayafati shri ram chandra,0.5,0.1795,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G03243-G03243S2366,AESRC2020-INDIAN-ACCENT-G03243,4.135,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,skip the next episode of behram the bandit,skip the next episode of behram the bandit,it's keep the next episode of baharam the bandit,it s keep the next episode of baharam the bandit,0.5,0.1905,0.7143,1.25
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03749-G03749S2373,AESRC2020-INDIAN-ACCENT-G03749,4.595,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,when is it peak time at mchalls bistro,when is it peak time at mchalls bistro,when is it pick time at mack hull's bistro,when is it pick time at mack hull s bistro,0.5,0.1842,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G11935-G11935S2364,AESRC2020-INDIAN-ACCENT-G11935,4.49,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,deep diving is the soundtrack to what film,deep diving is the soundtrack to what film,dip diving is the song track to watch film,dip diving is the song track to watch film,0.5,0.1905,0.625,1.125
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,is de souza resorts adult only,is de souza resorts adult only,is this user results adult only,is this user results adult only,0.5,0.3,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benedict silver man orgestra and corral,play songs by benedict silver man orgestra and corral,0.5,0.1509,0.625,1.125
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,where is vanakamal hotel,where is vanakamal hotel,where is one kamal hotel,where is one kamal hotel,0.5,0.1667,0.75,1.25
