dataset,model,model_display,batch_size,status,rtfx_audio_s_per_s,utterances_per_s,completion_latency_p95_s,gpu_util_mean_pct,device_memory_peak_mib,corpus_wer_pct,wer_delta_pp_vs_batch1,empty_hypotheses,quality_valid,gate_reject_reason,sensitivity_valid,is_selected
tie,large,Whisper Large-v3,64,ok,187.397,8.076,8.2031,41.97,31275.0,12.9634,-0.0226,0,True,,True,False
tie,large,Whisper Large-v3,128,ok,192.765,8.308,15.8089,40.49,38155.0,12.9597,-0.0263,0,True,,True,True
tie,large_v3_turbo,Whisper large-v3-turbo,1,ok,76.602,3.301,0.3896,33.51,2295.0,13.5344,0.0,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,2,ok,111.35,4.799,0.4912,31.4,2359.0,13.5419,0.0075,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,4,ok,152.166,6.558,0.6708,28.87,2571.0,13.5682,0.0338,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,8,ok,186.748,8.048,1.0498,27.51,2971.0,13.557,0.0226,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,16,ok,217.073,9.355,1.7645,25.28,3759.0,13.572,0.0376,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,32,ok,233.679,10.071,3.2527,24.53,5321.0,13.5194,-0.015,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,64,ok,246.344,10.617,6.0941,22.93,8429.0,13.5382,0.0038,0,True,,True,False
tie,large_v3_turbo,Whisper large-v3-turbo,128,ok,249.957,10.773,12.1258,22.62,14631.0,13.5757,0.0413,0,True,,True,True
tie,parakeet,Parakeet-TDT-0.6B-v2,1,ok,271.445,11.699,0.0958,50.14,3641.0,15.1159,0.0,0,True,,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,2,ok,474.273,20.44,0.1068,54.87,5139.0,15.1459,0.03,0,True,,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,4,ok,836.204,36.038,0.1217,62.39,10087.0,15.1084,-0.0075,0,True,,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,8,ok,1264.535,54.498,0.1688,64.24,21177.0,15.2286,0.1127,0,False,wer +0.1127 pp,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,16,ok,1645.752,70.928,0.2828,64.4,22499.0,15.2211,0.1052,0,False,wer +0.1052 pp,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,32,ok,1958.019,84.386,0.4742,62.88,23167.0,15.2398,0.1239,0,False,wer +0.1239 pp,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,64,ok,2121.344,91.425,0.8327,59.39,24351.0,15.2248,0.1089,0,False,wer +0.1089 pp,True,False
tie,parakeet,Parakeet-TDT-0.6B-v2,128,ok,2251.261,97.024,1.6044,60.59,16257.0,15.2098,0.0939,0,True,,True,True
tie,parakeet_ctc,Parakeet-CTC-1.1B,1,ok,228.145,9.833,0.1031,38.11,4737.0,17.1744,0.0,6,True,,True,True
tie,parakeet_ctc,Parakeet-CTC-1.1B,2,ok,439.004,18.92,0.1104,41.46,4849.0,17.366,0.1916,8,False,wer +0.1916 pp; empty 6->8,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,4,ok,819.161,35.304,0.1162,52.81,5063.0,17.5162,0.3418,9,False,wer +0.3418 pp; empty 6->9,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,8,ok,1243.652,53.598,0.1777,64.16,5487.0,17.4749,0.3005,9,False,wer +0.3005 pp; empty 6->9,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,16,ok,1482.913,63.91,0.3023,68.03,6331.0,17.5275,0.3531,9,False,wer +0.3531 pp; empty 6->9,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,32,ok,1674.398,72.162,0.5525,68.34,8525.0,17.5238,0.3494,9,False,wer +0.3494 pp; empty 6->9,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,64,ok,1719.067,74.088,1.0809,74.25,13059.0,17.505,0.3306,9,False,wer +0.3306 pp; empty 6->9,True,False
tie,parakeet_ctc,Parakeet-CTC-1.1B,128,ok,1722.69,74.244,2.079,74.39,22539.0,17.5012,0.3268,9,False,wer +0.3268 pp; empty 6->9,True,False
