dataset,model,mode,reference_source,normalizer,corpus_wer_pct,corpus_cer_pct,mean_wer_pct,median_wer_pct,std_wer_pct,p90_wer_pct,p95_wer_pct,insertion_rate_pct,num_samples,total_ref_words,total_errors
tie,medium,hf_raw,alt,minimal,18.01,12.4,18.51,14.29,16.94,36.17,46.88,5.56,985,52290,9417
tie,medium,hf_clean,alt,custom,15.76,10.88,16.4,12.0,15.84,32.2,43.75,5.71,985,52313,8245
tie,medium,whisper_norm,gold,whisper,14.48,9.96,15.68,10.91,20.23,31.25,39.62,5.49,986,51815,7502
tie,large,transcript_raw,gold,minimal,16.31,11.28,17.34,11.76,19.75,36.23,48.28,7.13,985,51933,8471
tie,large,transcript_clean,gold,custom,15.93,11.2,16.88,11.43,19.2,35.21,48.94,7.13,985,52175,8313
tie,large,hf_raw,alt,minimal,19.14,13.41,19.88,14.71,20.09,38.71,52.38,7.13,985,52290,10006
tie,large,hf_clean,alt,custom,16.94,11.92,17.81,12.5,19.31,36.36,51.06,7.29,985,52313,8861
tie,large,whisper_norm,gold,whisper,15.76,11.09,17.24,11.36,23.24,34.29,48.94,7.23,986,51815,8164
tie,large_v3_turbo,transcript_raw,gold,minimal,18.35,12.98,19.2,12.31,23.74,38.96,56.86,8.79,985,51933,9530
tie,large_v3_turbo,transcript_clean,gold,custom,17.98,12.93,18.8,12.0,23.62,38.89,56.52,8.79,985,52175,9379
tie,large_v3_turbo,hf_raw,alt,minimal,21.1,15.02,21.7,15.0,24.15,44.44,60.81,8.74,985,52290,11032
tie,large_v3_turbo,hf_clean,alt,custom,18.91,13.62,19.64,12.7,23.55,39.74,56.52,8.94,985,52313,9891
tie,large_v3_turbo,whisper_norm,gold,whisper,17.75,12.82,19.22,11.88,28.52,38.1,57.69,8.87,986,51815,9198
tie,parakeet,transcript_raw,gold,minimal,15.97,10.2,17.18,12.12,17.88,34.38,44.44,6.08,985,51933,8293
tie,parakeet,transcript_clean,gold,custom,15.6,10.21,16.75,11.86,17.47,34.38,44.12,6.09,985,52175,8138
tie,parakeet,hf_raw,alt,minimal,18.54,12.25,19.49,14.75,18.05,38.46,50.0,6.03,985,52290,9696
tie,parakeet,hf_clean,alt,custom,16.4,10.81,17.47,12.73,17.02,35.29,44.68,6.2,985,52313,8578
tie,parakeet,whisper_norm,gold,whisper,15.17,9.95,16.83,11.36,21.43,33.33,44.44,6.01,986,51815,7860
tie,parakeet_ctc,transcript_raw,gold,minimal,18.53,11.98,19.31,15.15,17.54,37.5,48.0,5.85,985,51933,9623
tie,parakeet_ctc,transcript_clean,gold,custom,16.45,10.34,17.23,12.9,15.95,34.69,44.19,5.55,985,52175,8581
tie,parakeet_ctc,hf_raw,alt,minimal,17.15,10.99,17.81,13.89,15.69,35.53,45.45,5.65,985,52290,8966
tie,parakeet_ctc,hf_clean,alt,custom,16.98,10.85,17.66,13.73,15.66,35.29,45.0,5.6,985,52313,8885
tie,parakeet_ctc,whisper_norm,gold,whisper,16.19,10.19,17.52,12.5,22.45,34.69,45.83,5.45,986,51815,8389
tie,qwen3,transcript_raw,gold,minimal,18.15,11.52,18.93,14.58,17.5,36.21,46.81,5.95,985,51933,9425
tie,qwen3,transcript_clean,gold,custom,16.66,10.45,17.34,12.9,15.93,35.0,45.07,5.66,985,52175,8694
tie,qwen3,hf_raw,alt,minimal,17.99,11.63,18.55,14.06,16.09,36.36,46.67,5.9,985,52290,9408
tie,qwen3,hf_clean,alt,custom,17.61,11.21,18.23,13.79,15.86,35.38,46.03,5.81,985,52313,9211
tie,qwen3,whisper_norm,gold,whisper,15.4,10.1,16.67,11.98,20.4,32.2,44.64,5.77,986,51815,7981
tie,medium_hf,transcript_raw,gold,minimal,14.75,9.91,14.98,10.34,22.34,30.51,40.58,5.29,985,51933,7661
tie,medium_hf,transcript_clean,gold,custom,14.42,10.06,14.64,9.84,22.19,30.3,40.0,5.3,985,52175,7523
tie,medium_hf,hf_raw,alt,minimal,17.72,12.14,17.74,12.77,22.98,35.9,45.88,5.34,985,52290,9264
tie,medium_hf,hf_clean,alt,custom,15.51,10.83,15.67,11.11,22.2,31.03,43.21,5.51,985,52313,8112
tie,medium_hf,whisper_norm,gold,whisper,14.23,9.74,14.93,9.85,25.58,29.73,41.07,5.34,986,51815,7372
tie,medium_ft,transcript_raw,gold,minimal,14.71,10.02,15.01,10.53,26.16,28.0,36.84,5.37,985,51933,7639
tie,medium_ft,transcript_clean,gold,custom,14.61,10.25,14.8,10.14,27.7,27.87,36.62,5.59,985,52175,7625
tie,medium_ft,hf_raw,alt,minimal,17.7,12.29,17.8,13.21,26.65,33.33,43.21,5.39,985,52290,9253
tie,medium_ft,hf_clean,alt,custom,15.7,11.06,15.85,11.36,27.74,29.33,38.46,5.79,985,52313,8214
tie,medium_ft,whisper_norm,gold,whisper,14.31,9.88,15.05,10.07,29.11,27.59,36.84,5.42,986,51815,7416
tie,tiny_hf,transcript_raw,gold,minimal,22.49,13.88,23.08,15.38,51.94,39.53,51.72,9.16,985,51933,11682
tie,tiny_hf,transcript_clean,gold,custom,22.1,13.95,22.65,15.0,51.53,38.46,50.59,9.08,985,52175,11532
tie,tiny_hf,hf_raw,alt,minimal,24.86,15.77,25.21,17.74,51.65,42.37,55.32,9.04,985,52290,13000
tie,tiny_hf,hf_clean,alt,custom,22.67,14.46,23.13,15.49,51.31,39.74,51.32,9.14,985,52313,11861
tie,tiny_hf,whisper_norm,gold,whisper,21.72,13.66,22.78,14.75,53.39,38.1,50.59,9.12,986,51815,11256
tie,tiny_ft,transcript_raw,gold,minimal,19.54,12.36,20.37,15.22,23.43,38.71,50.0,6.44,985,51933,10146
tie,tiny_ft,transcript_clean,gold,custom,19.14,12.45,19.92,14.89,22.83,37.65,50.0,6.38,985,52175,9986
tie,tiny_ft,hf_raw,alt,minimal,21.82,14.25,22.34,17.57,23.2,42.11,54.29,6.3,985,52290,11410
tie,tiny_ft,hf_clean,alt,custom,19.63,12.92,20.3,15.49,22.51,38.89,50.0,6.42,985,52313,10267
tie,tiny_ft,whisper_norm,gold,whisper,18.45,11.93,19.87,14.55,23.64,37.5,50.0,6.0,986,51815,9558
tie,small_hf,transcript_raw,gold,minimal,17.78,11.65,17.48,11.11,39.01,31.58,41.51,7.88,985,51933,9236
tie,small_hf,transcript_clean,gold,custom,17.38,12.06,17.06,10.59,38.87,31.03,41.51,7.85,985,52175,9068
tie,small_hf,hf_raw,alt,minimal,20.53,13.73,19.99,13.56,39.7,36.36,46.88,7.87,985,52290,10735
tie,small_hf,hf_clean,alt,custom,18.27,12.75,17.87,11.36,38.67,32.65,43.21,7.98,985,52313,9557
tie,small_hf,whisper_norm,gold,whisper,16.93,11.32,17.22,10.45,40.26,31.25,41.51,7.65,986,51815,8772
tie,small_ft,transcript_raw,gold,minimal,16.39,10.61,16.68,12.2,25.6,31.82,40.82,6.01,985,51933,8514
tie,small_ft,transcript_clean,gold,custom,16.21,10.87,16.37,12.0,26.9,31.03,41.51,6.17,985,52175,8456
tie,small_ft,hf_raw,alt,minimal,19.17,12.74,19.16,14.29,25.31,36.67,46.3,6.01,985,52290,10024
tie,small_ft,hf_clean,alt,custom,17.2,11.61,17.27,12.77,26.91,32.65,43.75,6.32,985,52313,8998
tie,small_ft,whisper_norm,gold,whisper,15.64,10.42,16.42,11.8,26.32,30.23,40.62,5.91,986,51815,8103
